Symbol	Articles	Cytogenetic Position
TGFB1	3	19q13.2
UCP2	3	11q13.4
XBP1	3	22q12.1
ABCC8	2	11p15.1
ABCG1	2	21q22.3
ACACA	2	17q12
ACACB	2	12q24.11
AGA	2	4q34.3
ALPP	2	2q37.1
AMY2A	2	1p21.1
APOC3	2	11q23.3
AQP7	2	9p13.3
AQP9	2	15q21.3
ASRGL1	2	11q12.3
ATF6	2	1q23.3
ATHS	2	none
ATRNL1	2	10q25.3
CALB2	2	16q22.2
CCL2	2	17q12
CCL27	2	9p13.3
CD14	2	5q31.3
CD34	2	1q32.2
CD36	2	7q21.11
CD55	2	1q32.2
CHAT	2	10q11.23
CHGA	2	14q32.12
CLNS1A	2	11q14.1
CRTC2	2	1q21.3
CXCL10	2	4q21.1
EGF	2	4q25
ENY2	2	8q23.1
FABP1	2	2p11.2
FABP4	2	8q21.13
FTO	2	16q12.2
FUT1	2	19q13.33
GAPDH	2	12p13.31
GSR	2	8p12
GSTP1	2	11q13.2
H6PD	2	1p36.22
HBEGF	2	5q31.3
HFE	2	6p22.2
HGD	2	3q13.33
HPGDS	2	4q22.3
HSD11B2	2	16q22.1
HSPA5	2	9q33.3
IARS	2	9q22.31
IFNA1	2	9p21.3
IGF1R	2	15q26.3
IGF2BP2	2	3q27.2
IGFBP1	2	7p12.3
IGFBP3	2	7p12.3
IL4	2	5q31.1
KNG1	2	3q27.3
LCN2	2	9q34.11
MAPK3	2	16p11.2
MAPT	2	17q21.31
MET	2	7q31.2
MT1B	2	16q12.2
MTTP	2	4q23
NOTCH2	2	1p12-1p11.2
NOX4	2	11q14.3
NR1H3	2	11p11.2
PLTP	2	20q13.12
PNPLA3	2	22q13.31
POMC	2	2p23.3
PRH1	2	12p13.2
PTPN2	2	18p11.21
PYY	2	17q21.31
RAPGEF5	2	7p15.3
RARRES2	2	7q36.1
RENBP	2	Xq28
RPS6KB1	2	17q23.1
SCD	2	10q24.31
SLC5A1	2	22q12.3
SMN1	2	none
SOD2	2	6q25.3
SUGP1	2	none
SULF2	2	"20q13.12, 20q13.12-20q13.13"
TF	2	3q22.1
WFS1	2	4p16.1
ABCB6	1	2q35
ABCC9	1	12p12.1
ACHE	1	7q22.1
ACO1	1	9p21.1
ACO2	1	22q13.2
ACSBG1	1	15q25.1
ACTB	1	7p22.1
ACTG1	1	"17q25.3, 7p22.1"
ADCYAP1	1	18p11.32
ADRA1D	1	20p13
AFP	1	4q13.3
AGER	1	6p21.32
AGXT	1	2q37.3
AIRE	1	21q22.3
AKAP4	1	Xp11.22
AKR1B1	1	7q33
ALB	1	4q13.3
ALDH18A1	1	10q24.1
ANGPT2	1	8p23.1
ANGPTL4	1	19p13.2
ANGPTL6	1	19p13.2
ANK1	1	8p11.21
APC	1	5q22.2
APCDD1	1	18p11.22
APLN	1	Xq26.1
APP	1	21q21.3
ARG1	1	6q23.2
ARID4B	1	1q42.3
ATN1	1	12p13.31
B3GAT2	1	6q13
BAS	1	none
BAX	1	19q13.33
BCHE	1	3q26.1
BCKDK	1	16p11.2
BCL2	1	18q21.33
BDNF	1	11p14.1
BLOC1S5	1	none
C12ORF57	1	12p13.31
CA7	1	16q22.1
CALM1	1	"14q32.11, 19q13.32"
CALM2	1	2p21
CALM3	1	19q13.32
CASP3	1	4q35.1
CCK	1	3p22.1
CCL3	1	17q12
CCRN4L	1	4q31.1
CD68	1	17p13.1
CD9	1	12p13.31
CDK4	1	12q14.1
CDKAL1	1	6p22.3
CEBPA	1	19q13.11
CFD	1	19p13.3
CFH	1	1q31.3
CHKA	1	11q13.2
CHKB	1	22q13.33
CHUK	1	10q24.31
CKM	1	19q13.32
CNR1	1	6q15
CNR2	1	1p36.11
COG2	1	1q42.2
CPB2	1	13q14.13
CREB1	1	2q33.3
CS	1	12q13.3
CST3	1	20p11.21
CTGF	1	6q23.2
CYP1A1	1	15q24.1
CYP2B7P1	1	none
CYP2C18	1	10q23.33
CYP2D6	1	22q13.2
CYP3A5	1	7q22.1
CYP7A1	1	8q12.1
DBP	1	19q13.33
DDIT3	1	12q13.3
DGAT1	1	8q24.3
DHDDS	1	1p36.11
DNAJB9	1	7q31.1
DUSP6	1	12q21.33
EIF4E	1	4q23
EIF4EBP1	1	8p11.23
EIF4EBP2	1	10q22.1
ELL	1	19p13.11
ENPP1	1	6q23.2
EP300	1	22q13.2
EPHB1	1	3q22.2
ERBB4	1	2q34
ERN1	1	17q23.3
ERN2	1	16p12.2
FADS1	1	11q12.2
FAM132A	1	1p36.33
FAT1	1	4q35.2
FGF19	1	11q13.3
FGR	1	1p36.11
FLII	1	17p11.2
FLNA	1	Xq28
FOXM1	1	12p13.33
FOXO3	1	6q21
FOXO4	1	Xq13.1
FSHMD1A	1	none
G6PD	1	Xq28
GABPA	1	21q21.3
GATM	1	15q21.1
GCKR	1	2p23.3
GDF10	1	10q11.22
GHR	1	"5p13.1-5p12, 5p13.1, 5p12"
GLS	1	2q32.2
GNMT	1	6p21.1
GPAM	1	10q25.2
GPBAR1	1	2q35
GPR142	1	17q25.1
GPR162	1	12p13.31
GPX1	1	3p21.31
GRB10	1	7p12.1
GSK3A	1	19q13.2
GSTM1	1	1p13.3
GSTT1	1	22q11.23
GYPA	1	4q31.21
GYS2	1	12p12.1
HADHA	1	2p23.3
HAVCR1	1	5q33.3
HCFC1	1	Xq28
HGF	1	7q21.11
HGS	1	17q25.3
HHEX	1	10q23.33
HIF1A	1	14q23.2
HIRA	1	22q11.21
HK1	1	10q22.1
HM13	1	20q11.21
HMGA1	1	6p21.31
HMOX1	1	22q12.3
HP	1	16q22.2
ID1	1	20q11.21
IDDM2	1	none
IDE	1	10q23.33
IFNL3	1	none
IGHE	1	14q32.33
IKBKB	1	8p11.21
IKBKE	1	1q32.1
IL10	1	1q32.1
ISYNA1	1	19p13.11
ITGB3	1	17q21.32
ITLN1	1	1q23.3
JAZF1	1	7p15.2-7p15.1
JUN	1	1p32.1
JUNB	1	19p13.2
JUND	1	19p13.11
KAT2A	1	17q21.2
KAT2B	1	3p24.3
KCNQ1	1	"11p15.5, 11p15.5-11p15.4"
KIN	1	10p14
KRT1	1	12q13.13
KRT124P	1	none
KRT18	1	12q13.13
LCN1	1	9q34.3
LIPG	1	18q21.1
LMNA	1	1q22
LMX1A	1	1q23.3
LPO	1	17q22
M1	1	10q21.2
MAPK14	1	6p21.31
MCAT	1	22q13.2
MED23	1	6q23.2
MID1	1	Xp22.2
MITF	1	"3p14.1-3p13, 3p13"
MLX	1	17q21.2
MSC	1	8q13.3
MYOM2	1	8p23.3
NBL1	1	1p36.13
NF1	1	17q11.2
NFASC	1	1q32.1
NFE2L2	1	2q31.2
NID1	1	1q42.3
NOS2	1	17q11.2
NPC1	1	18q11.2
NPC1L1	1	7p13
NR3C1	1	5q31.3
NTRK1	1	1q23.1
NUDT11	1	"12q22, Xp11.22"
OAP	1	none
OLR1	1	12p13.2
OPRM1	1	6q25.2
OSBPL8	1	12q21.2
PAH	1	12q23.2
PARK2	1	6q26
PARN	1	16p13.12
PCK1	1	20q13.31
PDC	1	1q31.1
PDK2	1	17q21.33
PDK4	1	7q21.3
PDP1	1	8q22.1
PDR	1	none
PGM1	1	1p31.3
PIK3R1	1	5q13.1
PLEK	1	2p14-2p13.3
PLIN1	1	15q26.1
POLDIP2	1	17q11.2
PON1	1	7q21.3
POU2F2	1	19q13.2
POU5F1	1	"1q22, 6p21.33"
PPA1	1	10q22.1
PPAN	1	19p13.2
PPARGC1B	1	5q32
PPP2CA	1	5q31.1
PPP2R4	1	9q34.11
PPP4R1	1	18p11.22
PR@	1	none
PRKCE	1	2p21
PRKCQ	1	"10p15.1, 10p15.1-10p14"
PRKCZ	1	1p36.33
PRL	1	6p22.3
PRNP	1	20p13
PSEN1	1	14q24.2
PSMA3	1	14q23.1
PSME3	1	17q21.31
PTGS2	1	1q31.1
PTH	1	11p15.2
PTPRC	1	"1q31.3, 1q31.3-1q32.1"
PTPRE	1	10q26.2
PTPRF	1	1p34.2
PTS	1	11q23.1
PTX3	1	3q25.32
RICTOR	1	5p13.1
RNF130	1	5q35.3
SCARB1	1	12q24.31
SEL1L	1	14q31.1
SEPP1	1	5p12
SIRT3	1	11p15.5
SLC22A12	1	11q13.1
SLC22A2	1	6q25.3
SLC22A3	1	6q25.3
SLC30A8	1	8q24.11
SLC35A2	1	Xp11.23
SPHK1	1	17q25.1
SREBF2	1	22q13.2
SRGN	1	10q22.1
STAT1	1	2q32.2
STAT5B	1	17q21.2
STAT6	1	12q13.3
STK11	1	19p13.3
SYP	1	Xp11.23
TCF7	1	5q31.1
TEK	1	9p21.2
TGFA	1	2p13.3
THADA	1	2p21
TIMELESS	1	12q13.3
TIMP1	1	Xp11.23
TIMP3	1	22q12.3
TLR3	1	4q35.1
TLR4	1	9q33.1
TNFRSF1B	1	1p36.22
TP53	1	17p13.1
TP63	1	3q28
TPI1	1	12p13.31
TRG@	1	none
TRIB3	1	20p13
TSPAN8	1	12q21.1
TTPA	1	8q12.3
UBR5	1	8q22.3
UCP3	1	11q13.4
UGT1A	1	none
UGT1A3	1	2q37.1
UGT1A4	1	2q37.1
UGT1A6	1	2q37.1
UGT1A9	1	2q37.1
VCAM1	1	1p21.2
VEGFA	1	6p21.1
VIM	1	10p13
WRN	1	8p12
XDH	1	2p23.1
YWHAB	1	20q13.12
ZBTB7C	1	18q21.1
ZFR	1	5p13.3
